Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	23	2	1	 true 	1.080											
AVM	Break 	24	2	1	 true 	1.269											
AVM	Break 	25	2	1	 true 	1.267											
AVM	Break 	26	2	1	 true 	1.131											
AVM	Break 	27	2	1	 true 	1.053											
AVM	Break 	28	2	1	 true 	0.940											
AVM	Break 	29	2	1	 true 	1.273											
AVM	Break 	30	2	1	 true 	0.861											
AVM	Break 	31	2	1	 true 	0.908											
AVM	Break 	32	2	1	 true 	1.182											
AVM	Break 	33	2	1	 true 	1.168											
AVM	Break 	34	2	1	 true 	1.014											
AVM	Break 	35	2	1	 true 	0.939											
AVM	Break 	36	2	1	 true 	0.855											
AVM	Break 	37	2	1	 true 	0.682											
AVM	Break 	38	2	1	 true 	0.857											
AVM	Break 	39	2	1	 true 	1.273											
AVM	Break 	40	2	1	 true 	1.270											
AVM	Break 	41	2	1	 true 	1.208											
AVM	Break 	42	2	1	 true 	1.235											
AVM	Break 	43	2	1	 true 	1.098											
AVM	Break 	44	2	1	 true 	0.906											
AVM	Break 	45	2	1	 true 	1.146											
AVM	Break 	46	2	1	 true 	0.649											
AVM	Break 	47	2	1	 true 	0.632											
AVM	Break 	48	2	1	 true 	1.029											
AVM	Break 	49	2	1	 true 	0.688											
AVM	Break 	50	2	1	 true 	1.161											
AVM	Break 	51	2	1	 true 	1.295											
AVM	Break 	52	2	1	 true 	0.893											
AVM	Break 	53	2	1	 true 	0.827											
AVM	Break 	54	2	1	 true 	1.111											
AVM	Break 	55	2	1	 true 	0.870											
AVM	Break 	56	2	1	 true 	1.399											
AVM	Break 	57	2	1	 true 	0.707											
AVM	Break 	58	2	1	 true 	0.958											
AVM	Break 	59	2	1	 true 	0.925											
AVM	Break 	60	2	1	 true 	0.923											
AVM	Break 	61	2	1	 true 	0.661											
AVM	Break 	62	2	1	 true 	1.199											
AVM	Break 	63	2	1	 true 	0.673											
AVM	Break 	64	2	1	 true 	0.778											
AVM	Break 	65	2	1	 true 	1.140											
AVM	Break 	66	2	1	 true 	0.782											
AVM	Break 	67	2	1	 true 	0.863											
AVM	Break 	68	2	1	 true 	1.302											
AVM	Break 	69	2	1	 true 	0.817											
AVM	Break 	70	2	1	 true 	1.150											
AVM	Break 	71	2	1	 true 	1.073											
AVM	Break 	72	2	1	 true 	1.175											
AVM	Break 	73	2	1	 true 	0.875											
AVM	Break 	74	2	1	 true 	0.620											
AVM	Break 	75	2	1	 true 	0.685											
AVM	Break 	76	2	1	 true 	1.050											
AVM	Break 	77	2	1	 true 	0.601											
AVM	Break 	78	2	1	 true 	0.887											
AVM	Break 	79	2	1	 true 	0.759											
AVM	Break 	80	2	1	 true 	1.382											
AVM	Break 	81	2	1	 true 	1.324											
AVM	Break 	82	2	1	 true 	1.393											
AVM	Break 	83	2	1	 true 	1.361											
AVM	Break 	84	2	1	 true 	0.761											
AVM	Break 	85	2	1	 true 	0.705											
AVM	Break 	86	2	1	 true 	0.604											
AVM	Break 	87	2	1	 true 	1.207											
AVM	Break 	88	2	1	 true 	0.748											
AVM	Break 	89	2	1	 true 	0.713											
AVM	Break 	90	2	1	 true 	1.294											
AVM	Break 	91	2	1	 true 	0.996											
AVM	Break 	92	2	1	 true 	0.757											
AVM	Break 	93	2	1	 true 	0.988											
AVM	Break 	94	2	1	 true 	0.957											
AVM	Break 	95	2	1	 true 	0.844											
AVM	Break 	96	2	1	 true 	1.150											
AVM	Break 	97	2	1	 true 	0.740											
AVM	Break 	98	2	1	 true 	1.169											
AVM	Break 	99	2	1	 true 	1.007											
AVM	Break 	0	3	1	 true 	1.217											
AVM	Break 	1	3	1	 true 	0.861											
AVM	Break 	2	3	1	 true 	0.701											
AVM	Break 	3	3	1	 true 	1.134											
AVM	Break 	4	3	1	 true 	0.840											
AVM	Break 	5	3	1	 true 	1.170											
AVM	Break 	6	3	1	 true 	1.217											
AVM	Break 	7	3	1	 true 	1.245											
AVM	Break 	8	3	1	 true 	1.241											
AVM	Break 	9	3	1	 true 	1.281											
AVM	Break 	10	3	1	 true 	0.785											
AVM	Break 	11	3	1	 true 	0.706											
AVM	Break 	12	3	1	 true 	0.567											
