Algo	Type	runs	id	iterations	Found	time
AVM	Break 	62	1	1	 true 	0.342
AVM	Break 	63	1	1	 true 	0.320
AVM	Break 	64	1	1	 true 	0.333
AVM	Break 	65	1	1	 true 	0.388
AVM	Break 	66	1	1	 true 	0.370
AVM	Break 	67	1	1	 true 	0.370
AVM	Break 	68	1	1	 true 	0.321
AVM	Break 	69	1	1	 true 	0.368
AVM	Break 	70	1	1	 true 	0.352
AVM	Break 	71	1	1	 true 	0.316
AVM	Break 	72	1	1	 true 	0.346
AVM	Break 	73	1	1	 true 	0.376
AVM	Break 	74	1	1	 true 	0.353
AVM	Break 	75	1	1	 true 	0.335
AVM	Break 	76	1	1	 true 	0.378
AVM	Break 	77	1	1	 true 	0.327
AVM	Break 	78	1	1	 true 	0.343
AVM	Break 	79	1	1	 true 	0.334
AVM	Break 	80	1	1	 true 	0.387
AVM	Break 	81	1	1	 true 	0.356
AVM	Break 	82	1	1	 true 	0.328
AVM	Break 	83	1	1	 true 	0.364
AVM	Break 	84	1	1	 true 	0.350
AVM	Break 	85	1	1	 true 	0.374
AVM	Break 	86	1	1	 true 	0.363
AVM	Break 	87	1	1	 true 	0.379
AVM	Break 	88	1	1	 true 	0.394
AVM	Break 	89	1	1	 true 	0.348
AVM	Break 	90	1	1	 true 	0.317
AVM	Break 	91	1	1	 true 	0.316
AVM	Break 	92	1	1	 true 	0.360
AVM	Break 	93	1	1	 true 	0.333
AVM	Break 	94	1	1	 true 	0.323
AVM	Break 	95	1	1	 true 	0.393
AVM	Break 	96	1	1	 true 	0.315
AVM	Break 	97	1	1	 true 	0.378
AVM	Break 	98	1	1	 true 	0.325
AVM	Break 	99	1	1	 true 	0.348
AVM	Break 	0	2	29	 true 	78.787
AVM	Break 	1	2	25	 true 	82.384
AVM	Break 	2	2	32	 true 	80.187
AVM	Break 	3	2	31	 true 	80.032
AVM	Break 	4	2	23	 true 	79.472
AVM	Break 	5	2	25	 true 	80.523
AVM	Break 	6	2	31	 true 	79.107
AVM	Break 	7	2	32	 true 	82.167
AVM	Break 	8	2	32	 true 	82.880
AVM	Break 	9	2	29	 true 	83.408
AVM	Break 	10	2	22	 true 	81.923
AVM	Break 	11	2	25	 true 	79.628
AVM	Break 	12	2	23	 true 	82.888
AVM	Break 	13	2	24	 true 	81.531
AVM	Break 	14	2	32	 true 	81.619
AVM	Break 	15	2	31	 true 	78.774
AVM	Break 	16	2	26	 true 	81.603
AVM	Break 	17	2	32	 true 	78.875
AVM	Break 	18	2	30	 true 	81.798
AVM	Break 	19	2	29	 true 	83.608
AVM	Break 	20	2	29	 true 	80.081
AVM	Break 	21	2	28	 true 	82.556
AVM	Break 	22	2	27	 true 	79.970
AVM	Break 	23	2	26	 true 	82.099
AVM	Break 	24	2	32	 true 	78.745
AVM	Break 	25	2	22	 true 	80.337
AVM	Break 	26	2	24	 true 	81.494
AVM	Break 	27	2	22	 true 	82.631
AVM	Break 	28	2	28	 true 	82.746
AVM	Break 	29	2	26	 true 	79.800
AVM	Break 	30	2	29	 true 	78.717
AVM	Break 	31	2	23	 true 	80.834
AVM	Break 	32	2	28	 true 	78.628
AVM	Break 	33	2	27	 true 	78.678
AVM	Break 	34	2	26	 true 	83.249
AVM	Break 	35	2	24	 true 	83.137
AVM	Break 	36	2	22	 true 	79.005
AVM	Break 	37	2	23	 true 	80.825
AVM	Break 	38	2	25	 true 	79.269
AVM	Break 	39	2	25	 true 	83.568
AVM	Break 	40	2	28	 true 	79.296
AVM	Break 	41	2	24	 true 	81.808
AVM	Break 	42	2	30	 true 	82.338
AVM	Break 	43	2	24	 true 	79.073
AVM	Break 	44	2	26	 true 	83.213
AVM	Break 	45	2	23	 true 	80.148
AVM	Break 	46	2	23	 true 	82.952
AVM	Break 	47	2	30	 true 	82.549
AVM	Break 	48	2	23	 true 	80.293
AVM	Break 	49	2	27	 true 	80.144
AVM	Break 	50	2	22	 true 	78.974
AVM	Break 	51	2	32	 true 	80.189
AVM	Break 	52	2	28	 true 	82.762
AVM	Break 	53	2	25	 true 	78.842
AVM	Break 	54	2	27	 true 	81.768
AVM	Break 	55	2	32	 true 	78.778
AVM	Break 	56	2	29	 true 	82.363
AVM	Break 	57	2	23	 true 	80.342
AVM	Break 	58	2	28	 true 	80.083
AVM	Break 	59	2	23	 true 	80.743
AVM	Break 	60	2	24	 true 	80.772
AVM	Break 	61	2	29	 true 	83.339
AVM	Break 	62	2	31	 true 	81.992
