Algo	Type	runs	id	iterations	Found	time
AVM	Break 	32	2	0	 false 	0.000
AVM	Break 	33	2	0	 false 	0.000
AVM	Break 	34	2	0	 false 	0.000
AVM	Break 	35	2	0	 false 	0.000
AVM	Break 	36	2	0	 false 	0.000
AVM	Break 	37	2	0	 false 	0.000
AVM	Break 	38	2	0	 false 	0.000
AVM	Break 	39	2	0	 false 	0.000
AVM	Break 	40	2	0	 false 	0.000
AVM	Break 	41	2	0	 false 	0.000
AVM	Break 	42	2	0	 false 	0.000
AVM	Break 	43	2	0	 false 	0.000
AVM	Break 	44	2	0	 false 	0.000
AVM	Break 	45	2	0	 false 	0.000
AVM	Break 	46	2	0	 false 	0.000
AVM	Break 	47	2	0	 false 	0.000
AVM	Break 	48	2	0	 false 	0.000
AVM	Break 	49	2	0	 false 	0.000
AVM	Break 	50	2	0	 false 	0.000
AVM	Break 	51	2	0	 false 	0.000
AVM	Break 	52	2	0	 false 	0.000
AVM	Break 	53	2	0	 false 	0.000
AVM	Break 	54	2	0	 false 	0.000
AVM	Break 	55	2	0	 false 	0.000
AVM	Break 	56	2	0	 false 	0.000
AVM	Break 	57	2	0	 false 	0.000
AVM	Break 	58	2	0	 false 	0.000
AVM	Break 	59	2	0	 false 	0.000
AVM	Break 	60	2	0	 false 	0.000
AVM	Break 	61	2	0	 false 	0.000
AVM	Break 	62	2	0	 false 	0.000
AVM	Break 	63	2	0	 false 	0.000
AVM	Break 	64	2	0	 false 	0.000
AVM	Break 	65	2	0	 false 	0.000
AVM	Break 	66	2	0	 false 	0.000
AVM	Break 	67	2	0	 false 	0.000
AVM	Break 	68	2	0	 false 	0.000
AVM	Break 	69	2	0	 false 	0.000
AVM	Break 	70	2	0	 false 	0.000
AVM	Break 	71	2	0	 false 	0.000
AVM	Break 	72	2	0	 false 	0.000
AVM	Break 	73	2	0	 false 	0.000
AVM	Break 	74	2	0	 false 	0.000
AVM	Break 	75	2	0	 false 	0.000
AVM	Break 	76	2	0	 false 	0.000
AVM	Break 	77	2	0	 false 	0.000
AVM	Break 	78	2	0	 false 	0.000
AVM	Break 	79	2	0	 false 	0.000
AVM	Break 	80	2	0	 false 	0.000
AVM	Break 	81	2	0	 false 	0.000
AVM	Break 	82	2	0	 false 	0.000
AVM	Break 	83	2	0	 false 	0.000
AVM	Break 	84	2	0	 false 	0.000
AVM	Break 	85	2	0	 false 	0.000
AVM	Break 	86	2	0	 false 	0.000
AVM	Break 	87	2	0	 false 	0.000
AVM	Break 	88	2	0	 false 	0.000
AVM	Break 	89	2	0	 false 	0.000
AVM	Break 	90	2	0	 false 	0.000
AVM	Break 	91	2	0	 false 	0.000
AVM	Break 	92	2	0	 false 	0.000
AVM	Break 	93	2	0	 false 	0.000
AVM	Break 	94	2	0	 false 	0.000
AVM	Break 	95	2	0	 false 	0.000
AVM	Break 	96	2	0	 false 	0.000
AVM	Break 	97	2	0	 false 	0.000
AVM	Break 	98	2	0	 false 	0.000
AVM	Break 	99	2	0	 false 	0.000
AVM	Break 	0	3	0	 false 	0.000
